--------------------epoch: 0--------------------
Training start ...
*[Iter]: 062 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 4.04667.
*[Iter]: 063 [Acc@1]: 14.844%  [Acc@5]: 33.594%  [Loss]: 3.99071.
*[Iter]: 064 [Acc@1]: 3.125%  [Acc@5]: 27.344%  [Loss]: 4.05418.
*[Iter]: 065 [Acc@1]: 8.594%  [Acc@5]: 25.781%  [Loss]: 3.94699.
*[Iter]: 066 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 4.16105.
*[Iter]: 067 [Acc@1]: 5.469%  [Acc@5]: 27.344%  [Loss]: 4.01756.
*[Iter]: 068 [Acc@1]: 5.469%  [Acc@5]: 25.781%  [Loss]: 4.12831.
*[Iter]: 069 [Acc@1]: 5.469%  [Acc@5]: 25.000%  [Loss]: 3.99006.
*[Iter]: 070 [Acc@1]: 4.688%  [Acc@5]: 25.781%  [Loss]: 4.23261.
*[Iter]: 071 [Acc@1]: 7.812%  [Acc@5]: 17.969%  [Loss]: 3.99949.
*[Iter]: 072 [Acc@1]: 11.719%  [Acc@5]: 28.906%  [Loss]: 3.95745.
*[Iter]: 073 [Acc@1]: 8.594%  [Acc@5]: 29.688%  [Loss]: 3.95159.
*[Iter]: 074 [Acc@1]: 6.250%  [Acc@5]: 30.469%  [Loss]: 4.10906.
*[Iter]: 075 [Acc@1]: 7.031%  [Acc@5]: 28.125%  [Loss]: 3.99514.
*[Iter]: 076 [Acc@1]: 9.375%  [Acc@5]: 29.688%  [Loss]: 3.86648.
*[Iter]: 077 [Acc@1]: 10.938%  [Acc@5]: 28.125%  [Loss]: 3.96385.
*[Iter]: 078 [Acc@1]: 7.812%  [Acc@5]: 29.688%  [Loss]: 4.02694.
*[Iter]: 079 [Acc@1]: 9.375%  [Acc@5]: 28.125%  [Loss]: 3.98645.
*[Iter]: 080 [Acc@1]: 7.812%  [Acc@5]: 28.125%  [Loss]: 3.88143.
*[Iter]: 081 [Acc@1]: 10.156%  [Acc@5]: 28.906%  [Loss]: 3.93831.
*[Iter]: 082 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.85534.
*[Iter]: 083 [Acc@1]: 7.812%  [Acc@5]: 25.781%  [Loss]: 3.86093.
*[Iter]: 084 [Acc@1]: 8.594%  [Acc@5]: 25.781%  [Loss]: 4.14987.
*[Iter]: 085 [Acc@1]: 7.031%  [Acc@5]: 25.781%  [Loss]: 3.88619.
*[Iter]: 086 [Acc@1]: 10.156%  [Acc@5]: 31.250%  [Loss]: 3.92417.
*[Iter]: 087 [Acc@1]: 8.594%  [Acc@5]: 22.656%  [Loss]: 4.01440.
*[Iter]: 088 [Acc@1]: 10.938%  [Acc@5]: 25.000%  [Loss]: 3.98569.
*[Iter]: 089 [Acc@1]: 10.938%  [Acc@5]: 24.219%  [Loss]: 3.99354.
*[Iter]: 090 [Acc@1]: 10.938%  [Acc@5]: 30.469%  [Loss]: 3.84772.
*[Iter]: 091 [Acc@1]: 13.281%  [Acc@5]: 34.375%  [Loss]: 3.79938.
*[Iter]: 092 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.91009.
*[Iter]: 093 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 4.09222.
*[Iter]: 094 [Acc@1]: 10.938%  [Acc@5]: 32.812%  [Loss]: 3.82770.
*[Iter]: 095 [Acc@1]: 5.469%  [Acc@5]: 21.875%  [Loss]: 4.07487.
*[Iter]: 096 [Acc@1]: 10.156%  [Acc@5]: 28.125%  [Loss]: 3.89269.
*[Iter]: 097 [Acc@1]: 7.812%  [Acc@5]: 30.469%  [Loss]: 3.81297.
*[Iter]: 098 [Acc@1]: 2.344%  [Acc@5]: 23.438%  [Loss]: 4.03279.
*[Iter]: 099 [Acc@1]: 10.156%  [Acc@5]: 30.469%  [Loss]: 3.82990.
*[Iter]: 100 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 3.92860.
*[Iter]: 101 [Acc@1]: 4.688%  [Acc@5]: 31.250%  [Loss]: 3.83582.
*[Iter]: 102 [Acc@1]: 7.812%  [Acc@5]: 38.281%  [Loss]: 3.78402.
*[Iter]: 103 [Acc@1]: 8.594%  [Acc@5]: 29.688%  [Loss]: 3.81326.
*[Iter]: 104 [Acc@1]: 8.594%  [Acc@5]: 34.375%  [Loss]: 3.85686.
*[Iter]: 105 [Acc@1]: 13.281%  [Acc@5]: 35.156%  [Loss]: 3.67558.
*[Iter]: 106 [Acc@1]: 3.906%  [Acc@5]: 22.656%  [Loss]: 4.07640.
*[Iter]: 107 [Acc@1]: 13.281%  [Acc@5]: 28.125%  [Loss]: 3.70536.
*[Iter]: 108 [Acc@1]: 3.125%  [Acc@5]: 20.312%  [Loss]: 4.07530.
*[Iter]: 109 [Acc@1]: 9.375%  [Acc@5]: 30.469%  [Loss]: 3.97017.
*[Iter]: 110 [Acc@1]: 10.938%  [Acc@5]: 31.250%  [Loss]: 3.85331.
*[Iter]: 111 [Acc@1]: 7.812%  [Acc@5]: 30.469%  [Loss]: 3.82366.
*[Iter]: 112 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.82586.
*[Iter]: 113 [Acc@1]: 10.938%  [Acc@5]: 31.250%  [Loss]: 3.85828.
*[Iter]: 114 [Acc@1]: 6.250%  [Acc@5]: 25.781%  [Loss]: 4.03277.
*[Iter]: 115 [Acc@1]: 6.250%  [Acc@5]: 32.031%  [Loss]: 3.90155.
*[Iter]: 116 [Acc@1]: 7.812%  [Acc@5]: 25.000%  [Loss]: 3.90447.
*[Iter]: 117 [Acc@1]: 9.375%  [Acc@5]: 32.812%  [Loss]: 3.84065.
*[Iter]: 118 [Acc@1]: 7.031%  [Acc@5]: 31.250%  [Loss]: 3.83850.
*[Iter]: 119 [Acc@1]: 7.812%  [Acc@5]: 28.906%  [Loss]: 3.69743.
*[Iter]: 120 [Acc@1]: 8.594%  [Acc@5]: 28.125%  [Loss]: 3.95271.
*[Iter]: 121 [Acc@1]: 6.250%  [Acc@5]: 24.219%  [Loss]: 3.95165.
*[Iter]: 122 [Acc@1]: 7.812%  [Acc@5]: 26.562%  [Loss]: 3.82639.
*[Iter]: 123 [Acc@1]: 8.594%  [Acc@5]: 34.375%  [Loss]: 3.70053.
*[Iter]: 124 [Acc@1]: 6.250%  [Acc@5]: 26.562%  [Loss]: 3.89575.
*[Iter]: 125 [Acc@1]: 7.812%  [Acc@5]: 25.000%  [Loss]: 3.98678.
*[Iter]: 126 [Acc@1]: 10.938%  [Acc@5]: 36.719%  [Loss]: 3.78856.
*[Iter]: 127 [Acc@1]: 6.250%  [Acc@5]: 25.000%  [Loss]: 3.92657.
*[Iter]: 128 [Acc@1]: 8.594%  [Acc@5]: 31.250%  [Loss]: 3.76676.
*[Iter]: 129 [Acc@1]: 4.688%  [Acc@5]: 24.219%  [Loss]: 3.92949.
*[Iter]: 130 [Acc@1]: 4.688%  [Acc@5]: 29.688%  [Loss]: 3.82710.
*[Iter]: 131 [Acc@1]: 7.812%  [Acc@5]: 31.250%  [Loss]: 3.91725.
*[Iter]: 132 [Acc@1]: 8.594%  [Acc@5]: 28.125%  [Loss]: 3.82831.
*[Iter]: 133 [Acc@1]: 7.812%  [Acc@5]: 33.594%  [Loss]: 3.70518.
*[Iter]: 134 [Acc@1]: 14.062%  [Acc@5]: 38.281%  [Loss]: 3.64945.
*[Iter]: 135 [Acc@1]: 11.719%  [Acc@5]: 34.375%  [Loss]: 3.71550.
*[Iter]: 136 [Acc@1]: 8.594%  [Acc@5]: 34.375%  [Loss]: 3.79633.
*[Iter]: 137 [Acc@1]: 21.053%  [Acc@5]: 36.842%  [Loss]: 3.58130.
Wait for validation ...
* Acc@1 2.772% Acc@5 10.462%.
* Best Prec@1: 2.772%
--------------------epoch: 1--------------------
Training start ...
*[Iter]: 000 [Acc@1]: 6.250%  [Acc@5]: 28.125%  [Loss]: 3.83267.
*[Iter]: 001 [Acc@1]: 3.906%  [Acc@5]: 20.312%  [Loss]: 4.29720.
*[Iter]: 002 [Acc@1]: 5.469%  [Acc@5]: 25.781%  [Loss]: 4.04197.
*[Iter]: 003 [Acc@1]: 8.594%  [Acc@5]: 32.812%  [Loss]: 3.88543.
*[Iter]: 004 [Acc@1]: 5.469%  [Acc@5]: 28.906%  [Loss]: 3.82156.
*[Iter]: 005 [Acc@1]: 7.812%  [Acc@5]: 25.781%  [Loss]: 4.08713.
*[Iter]: 006 [Acc@1]: 4.688%  [Acc@5]: 23.438%  [Loss]: 3.97758.
*[Iter]: 007 [Acc@1]: 8.594%  [Acc@5]: 23.438%  [Loss]: 4.01354.
*[Iter]: 008 [Acc@1]: 7.031%  [Acc@5]: 33.594%  [Loss]: 3.79822.
*[Iter]: 009 [Acc@1]: 8.594%  [Acc@5]: 21.875%  [Loss]: 3.99683.
*[Iter]: 010 [Acc@1]: 2.344%  [Acc@5]: 22.656%  [Loss]: 3.96626.
*[Iter]: 011 [Acc@1]: 7.031%  [Acc@5]: 27.344%  [Loss]: 3.90375.
*[Iter]: 012 [Acc@1]: 5.469%  [Acc@5]: 25.781%  [Loss]: 4.00525.
*[Iter]: 013 [Acc@1]: 6.250%  [Acc@5]: 21.875%  [Loss]: 4.12490.
*[Iter]: 014 [Acc@1]: 10.156%  [Acc@5]: 32.031%  [Loss]: 3.90295.
*[Iter]: 015 [Acc@1]: 7.031%  [Acc@5]: 21.094%  [Loss]: 4.10309.
*[Iter]: 016 [Acc@1]: 8.594%  [Acc@5]: 24.219%  [Loss]: 4.05302.
*[Iter]: 017 [Acc@1]: 5.469%  [Acc@5]: 24.219%  [Loss]: 4.18341.
*[Iter]: 018 [Acc@1]: 10.156%  [Acc@5]: 35.156%  [Loss]: 3.78695.
*[Iter]: 019 [Acc@1]: 6.250%  [Acc@5]: 28.906%  [Loss]: 3.83213.
*[Iter]: 020 [Acc@1]: 5.469%  [Acc@5]: 28.125%  [Loss]: 3.87803.
*[Iter]: 021 [Acc@1]: 7.812%  [Acc@5]: 33.594%  [Loss]: 3.78725.
*[Iter]: 022 [Acc@1]: 6.250%  [Acc@5]: 28.125%  [Loss]: 3.92722.
*[Iter]: 023 [Acc@1]: 11.719%  [Acc@5]: 27.344%  [Loss]: 3.97633.
*[Iter]: 024 [Acc@1]: 10.938%  [Acc@5]: 33.594%  [Loss]: 3.73896.
*[Iter]: 025 [Acc@1]: 10.938%  [Acc@5]: 28.125%  [Loss]: 3.86159.
*[Iter]: 026 [Acc@1]: 6.250%  [Acc@5]: 32.812%  [Loss]: 3.82389.
*[Iter]: 027 [Acc@1]: 14.062%  [Acc@5]: 36.719%  [Loss]: 3.71267.
*[Iter]: 028 [Acc@1]: 10.156%  [Acc@5]: 32.031%  [Loss]: 3.75718.
*[Iter]: 029 [Acc@1]: 9.375%  [Acc@5]: 30.469%  [Loss]: 3.93951.
*[Iter]: 030 [Acc@1]: 6.250%  [Acc@5]: 25.781%  [Loss]: 4.03336.
*[Iter]: 031 [Acc@1]: 9.375%  [Acc@5]: 24.219%  [Loss]: 3.86728.
*[Iter]: 032 [Acc@1]: 9.375%  [Acc@5]: 28.906%  [Loss]: 3.77771.
*[Iter]: 033 [Acc@1]: 12.500%  [Acc@5]: 35.156%  [Loss]: 3.70057.
*[Iter]: 034 [Acc@1]: 4.688%  [Acc@5]: 23.438%  [Loss]: 4.08322.
*[Iter]: 035 [Acc@1]: 8.594%  [Acc@5]: 28.125%  [Loss]: 3.85194.
*[Iter]: 036 [Acc@1]: 9.375%  [Acc@5]: 28.125%  [Loss]: 3.88605.
*[Iter]: 037 [Acc@1]: 6.250%  [Acc@5]: 21.094%  [Loss]: 4.32426.
*[Iter]: 038 [Acc@1]: 8.594%  [Acc@5]: 28.125%  [Loss]: 3.82863.
*[Iter]: 039 [Acc@1]: 7.812%  [Acc@5]: 18.750%  [Loss]: 4.01021.
*[Iter]: 040 [Acc@1]: 8.594%  [Acc@5]: 33.594%  [Loss]: 3.81908.
*[Iter]: 041 [Acc@1]: 8.594%  [Acc@5]: 33.594%  [Loss]: 3.76341.
*[Iter]: 042 [Acc@1]: 7.812%  [Acc@5]: 32.031%  [Loss]: 3.83905.
*[Iter]: 043 [Acc@1]: 11.719%  [Acc@5]: 38.281%  [Loss]: 3.61534.
*[Iter]: 044 [Acc@1]: 10.156%  [Acc@5]: 33.594%  [Loss]: 3.80401.
*[Iter]: 045 [Acc@1]: 10.938%  [Acc@5]: 32.812%  [Loss]: 3.75262.
*[Iter]: 046 [Acc@1]: 7.031%  [Acc@5]: 25.000%  [Loss]: 3.93120.
*[Iter]: 047 [Acc@1]: 3.906%  [Acc@5]: 23.438%  [Loss]: 3.97348.
*[Iter]: 048 [Acc@1]: 13.281%  [Acc@5]: 29.688%  [Loss]: 3.83638.
*[Iter]: 049 [Acc@1]: 6.250%  [Acc@5]: 30.469%  [Loss]: 3.96901.
*[Iter]: 050 [Acc@1]: 8.594%  [Acc@5]: 28.125%  [Loss]: 3.86293.
*[Iter]: 051 [Acc@1]: 11.719%  [Acc@5]: 32.812%  [Loss]: 3.79984.
*[Iter]: 052 [Acc@1]: 7.031%  [Acc@5]: 32.031%  [Loss]: 3.85908.
*[Iter]: 053 [Acc@1]: 11.719%  [Acc@5]: 34.375%  [Loss]: 3.80459.
*[Iter]: 054 [Acc@1]: 9.375%  [Acc@5]: 32.812%  [Loss]: 3.87073.
